Country,GCI,GII,GDP,HCI,NRR,WGI
Albania,0.3899993287304897,0.5868187579214195,0.0001543266894446,0.5549915397631134,0.0237508712887038,0.66597939996511
Algeria,0.4098033792145438,0.376425855513308,0.0023596677916143,0.3891708967851101,0.2877078766807014,0.3708835073150044
Austria,0.881276876648457,0.9074778200253484,0.0051678563444822,0.8460236886632826,0.0024865716849158,0.779880833955723
Bangladesh,0.4526936927950157,0.3460076045627376,0.0034624604935174,0.3147208121827411,0.0160673903839583,0.338032805174822
Belgium,0.8431145523415774,0.8174904942965779,0.0062153496336456,0.7851099830795263,0.0006761401647441,0.6849021019449193
Cameroon,0.5018465180633078,0.3422053231939163,0.0004409661161543,0.1708967851099831,0.1204595674141546,0.3787945888382533
Canada,0.8784333999556316,0.959442332065906,0.0199502968580296,0.856175972927242,0.0176464186784729,0.8513835079146909
Chile,0.7487306441971756,0.7300380228136881,0.0032551218368511,0.6446700507614215,0.0719429295630173,0.679317191059384
Cyprus,0.54055973252233,0.8314321926489225,0.0002742574047666,0.7749576988155669,2.7358735722530764e-05,0.7186130684798676
Dominican Republic,0.4902684623023451,0.476552598225602,0.0009879227797122,0.3367174280879865,0.0287663592462025,0.6462291747089083
El Salvador,0.446139154362314,0.4968314321926489,0.0003153209962279,0.3519458544839256,0.0229346456582964,0.5752208286089558
Ethiopia,0.4912919822007385,0.3827629911280101,0.0009695399667989,0.155668358714044,0.252129615583156,0.2646253881234556
Finland,0.995636950110652,0.9923954372623572,0.0031431785313094,0.8815566835871403,0.0091990343566757,0.798445785444284
Ghana,0.540741747775082,0.3713561470215462,0.0007327950648778,0.2470389170896785,0.1941304001378392,0.5681700650240262
Greece,0.4980215501971162,0.6476552598225601,0.0025213681738126,0.6565143824027074,0.0020277115916558,0.5700599230084079
Guatemala,0.5528187455489537,0.4055766793409379,0.0008619076622386,0.2825719120135364,0.0452929515204808,0.4847870218551446
Honduras,0.4766190915060277,0.3485424588086185,0.0002830205652345,0.3333333333333333,0.0452338586582019,0.5068695890261145
Hungary,0.2523447637578268,0.7008871989860582,0.0016786991753691,0.6937394247038917,0.0050897880272147,0.7287961468026932
Iceland,0.863261194364094,0.8922686945500634,0.0002709503054566,0.7563451776649747,0.0,0.8731846807620705
Israel,0.770511169809812,0.6463878326996197,0.0042051131810432,0.7952622673434857,0.0041410784759757,0.4325589625900308
Japan,0.9339222829995342,0.9011406844106462,0.0653318630657919,0.9323181049069372,0.0005594058230533,0.795488467868886
Jordan,0.691996217994101,0.5906210392902408,0.0005203286138404,0.4551607445008461,0.025260362556164,0.4947983140988977
