Country,Score
Australia,0.9226869455006336
Portugal,0.7997465145754118
Tanzania,0.4828897338403041
Estonia,0.826362484157161
Namibia,0.6172370088719898
Vietnam,0.4524714828897338
Nicaragua,0.4537389100126742
Burkina Faso,0.4714828897338403
Belgium,0.8174904942965779
Uganda,0.4778200253485424
Benin,0.476552598225602
Slovak Republic,0.7477820025348542
Guinea,0.3346007604562737
Malaysia,0.6958174904942966
Morocco,0.5259822560202788
"Hong Kong SAR, China",0.9733840304182508
Albania,0.5868187579214195
Bhutan,0.6108998732572877
Ghana,0.3713561470215462
"Yemen, Rep.",0.2053231939163498
China,0.4968314321926489
Luxembourg,0.8377693282636247
Switzerland,0.94169835234474
Oman,0.697084917617237
Botswana,0.6628643852978453
Montenegro,0.6742712294043093
Canada,0.959442332065906
Guatemala,0.4055766793409379
Lebanon,0.4575411913814955
Poland,0.7515842839036755
Czechia,0.7617237008871989
Kuwait,0.5196451204055766
United Kingdom,0.9074778200253484
Belarus,0.5069708491761723
Ecuador,0.3624841571609632
Lithuania,0.7262357414448668
Colombia,0.5348542458808618
Togo,0.4157160963244612
Croatia,0.6958174904942966
Qatar,0.7477820025348542
Panama,0.5525982256020279
Ireland,0.9138149556400506
Austria,0.9074778200253484
Madagascar,0.4182509505703422
Mauritius,0.8174904942965779
France,0.8162230671736376
Iceland,0.8922686945500634
El Salvador,0.4968314321926489
Brazil,0.4980988593155893
United States,0.8833967046894803
"Egypt, Arab Rep.",0.291508238276299
Niger,0.3903675538656526
Bahrain,0.6387832699619772
Greece,0.6476552598225601
Mongolia,0.6185044359949302
Tajikistan,0.3878326996197718
Spain,0.7515842839036755
Bangladesh,0.3460076045627376
Bolivia,0.1673003802281368
Peru,0.5627376425855513
Armenia,0.6058301647655259
Bulgaria,0.6565272496831431
Finland,0.9923954372623572
Malta,0.7946768060836502
Rwanda,0.6020278833967047
Azerbaijan,0.512040557667934
New Zealand,0.982256020278834
Sweden,0.9163498098859316
Ukraine,0.4144486692015209
Israel,0.6463878326996197
India,0.4397972116603295
Turkiye,0.4892268694550063
Honduras,0.3485424588086185
Uruguay,0.6717363751584283
"Korea, Rep.",0.752851711026616
"Venezuela, RB",0.0
Mozambique,0.3814955640050697
Saudi Arabia,0.5310519645120405
Germany,0.8631178707224333
Jordan,0.5906210392902408
Pakistan,0.2674271229404309
Hungary,0.7008871989860582
Norway,0.9619771863117872
Sri Lanka,0.3586818757921419
Japan,0.9011406844106462
Moldova,0.541191381495564
Dominican Republic,0.476552598225602
United Arab Emirates,0.8225602027883396
Kazakhstan,0.6400506970849176
Kyrgyz Republic,0.4233206590621038
South Africa,0.6730038022813687
Ethiopia,0.3827629911280101
Cyprus,0.8314321926489225
Thailand,0.4904942965779467
Algeria,0.376425855513308
"Iran, Islamic Rep.",0.3789607097591888
Cameroon,0.3422053231939163
Argentina,0.3954372623574144
Chile,0.7300380228136881
Serbia,0.6299112801013942
Russian Federation,0.5310519645120405
North Macedonia,0.7021546261089987
Tunisia,0.5361216730038022
Mexico,0.5640050697084917
Nigeria,0.256020278833967
Netherlands,0.9505703422053232
Zambia,0.3979721166032953
Cambodia,0.4448669201520912
Kenya,0.4651457541191381
Mali,0.3434727503168567
Slovenia,0.8212927756653992
Bosnia and Herzegovina,0.541191381495564
Paraguay,0.4043092522179974
Indonesia,0.3244613434727503
Senegal,0.4790874524714828
