Country Name,2016 [YR2016]
Afghanistan,0.05007549824694277
Albania,0.66597939996511
Algeria,0.3708835073150044
American Samoa,0.8345762169054629
Andorra,0.8806096724845426
Angola,0.5306622394041345
Anguilla,0.8603422073176552
Antigua and Barbuda,0.7731201249817916
Argentina,0.6372954357810116
Armenia,0.45954242939306394
Aruba,0.8555613003199564
Australia,0.8088831681120002
Austria,0.779880833955723
Azerbaijan,0.43059980700822587
"Bahamas, The",0.7937954023331178
Bahrain,0.4339278907479457
Bangladesh,0.33803280517482204
Barbados,0.7938087056115671
Belarus,0.6245561147583143
Belgium,0.6849021019449193
Belize,0.6074077620187164
Benin,0.594888262144761
Bermuda,0.7970129599388226
Bhutan,0.8238031069751749
Bolivia,0.5446048829616236
Bosnia and Herzegovina,0.5140134067184763
Botswana,0.7977489359763748
Brazil,0.5184544437123358
Brunei Darussalam,0.8311804663519937
Bulgaria,0.6107114589643057
Burkina Faso,0.41832078309142795
Burundi,0.1933497510720395
Cabo Verde,0.7755718567834882
Cambodia,0.6390285947300266
Cameroon,0.37879458883825334
Canada,0.8513835079146909
Cayman Islands,0.8309254399340323
Central African Republic,0.23129985562699734
Chad,0.3293759078386069
Chile,0.679317191059384
China,0.4935714568773924
Colombia,0.4145317964387407
Comoros,0.6012093842770325
"Congo, Dem. Rep.",0.13992038250976463
"Congo, Rep.",0.48921074745308296
Costa Rica,0.7298581204741467
Cote d'Ivoire,0.40999920914640925
Croatia,0.7310157871853369
Cuba,0.7349048115547158
Cyprus,0.7186130684798676
Czechia,0.79450190799854
Denmark,0.7718189125917325
Djibouti,0.4676317772952373
Dominica,0.7974337694385433
Dominican Republic,0.6462291747089083
Ecuador,0.5778610077139187
"Egypt, Arab Rep.",0.30107495140509427
El Salvador,0.5752208286089558
Equatorial Guinea,0.5665612648037524
Eritrea,0.4607063744684166
Estonia,0.7327826632752238
Eswatini,0.4951931962799482
Ethiopia,0.26462538812345565
Fiji,0.7808773927023277
Finland,0.798445785444284
France,0.5748551720295033
French Guiana,0.7072560217283778
Gabon,0.5740838786637221
"Gambia, The",0.5059275345578664
Georgia,0.5309630440309633
Germany,0.7337569234263043
Ghana,0.5681700650240262
Greece,0.5700599230084079
Greenland,1.0
Grenada,0.8017311200104777
Guam,0.7305854193963167
Guatemala,0.48478702185514466
Guinea,0.515367152984104
Guinea-Bissau,0.5052640411942931
Guyana,0.5896656472157559
Haiti,0.4436096912584439
Honduras,0.5068695890261145
"Hong Kong SAR, China",0.7478459887164208
Hungary,0.7287961468026932
Iceland,0.8731846807620705
India,0.3994889215755459
Indonesia,0.5187286234244763
"Iran, Islamic Rep.",0.4295502064871975
Iraq,0.12375206497600377
Ireland,0.7679047870042314
