Country Name,2016 [YR2016]
Afghanistan,-2.6621561050415
Albania,0.337447881698608
Algeria,-1.09974193572998
American Samoa,1.15855598449707
Andorra,1.38275027275085
Angola,-0.321580082178116
Anguilla,1.28404271602631
Antigua and Barbuda,0.859249651432037
Argentina,0.197749897837639
Armenia,-0.667951107025146
Aruba,1.26075851917267
Australia,1.0334244966507
Austria,0.8921759724617
Azerbaijan,-0.808908820152283
"Bahamas, The",0.959943354129791
Bahrain,-0.792700231075287
Bangladesh,-1.25973296165466
Barbados,0.960008144378662
Belarus,0.135706260800362
Belgium,0.429606109857559
Belize,0.0521895512938499
Benin,-0.00878350250422955
Bermuda,0.975613653659821
Bhutan,1.1060882806778
Bolivia,-0.25367596745491
Bosnia and Herzegovina,-0.402664005756378
Botswana,0.979198038578033
Brazil,-0.381035059690475
Brunei Darussalam,1.14201784133911
Bulgaria,0.0682793706655502
Burkina Faso,-0.868710696697235
Burundi,-1.96437513828278
Cabo Verde,0.871190190315247
Cambodia,0.206190809607506
Cameroon,-1.06121301651001
Canada,1.24041163921356
Cayman Islands,1.14077579975128
Central African Republic,-1.77954876422882
Chad,-1.30189418792725
Chile,0.402406215667725
China,-0.502221345901489
Colombia,-0.887163996696472
Comoros,0.0220019221305847
"Congo, Dem. Rep.",-2.22458934783936
"Congo, Rep.",-0.523459076881409
Costa Rica,0.648553013801575
Cote d'Ivoire,-0.909238815307617
Croatia,0.654191136360168
Cuba,0.6731316447258
Cyprus,0.593786835670471
Czechia,0.963384211063385
Denmark,0.852912425994873
Djibouti,-0.628553986549377
Dominica,0.977663099765778
Dominican Republic,0.241259410977364
Ecuador,-0.0917104333639145
"Egypt, Arab Rep.",-1.43972682952881
El Salvador,-0.104568757116795
Equatorial Guinea,-0.146742969751358
Eritrea,-0.662282407283783
Estonia,0.662796258926392
Eswatini,-0.494323074817657
Ethiopia,-1.61724519729614
Fiji,0.897029459476471
Finland,0.982591867446899
France,-0.106349594891071
French Guiana,0.538475215435028
Gabon,-0.110105983912945
"Gambia, The",-0.442044198513031
Georgia,-0.320115089416504
Germany,0.667541146278381
Ghana,-0.138907715678215
Greece,-0.129703640937805
Greenland,1.9642106294632
Grenada,0.998592257499695
Guam,0.652095139026642
Guatemala,-0.545003712177277
Guinea,-0.396070927381516
Guinea-Bissau,-0.445275574922562
Guyana,-0.0342189259827137
Haiti,-0.745547473430634
Honduras,-0.437456160783768
"Hong Kong SAR, China",0.73615837097168
Hungary,0.64338093996048
Iceland,1.34658873081207
India,-0.960426509380341
Indonesia,-0.379699736833572
"Iran, Islamic Rep.",-0.81402063369751
Iraq,-2.30333304405212
Ireland,0.833849668502808
Israel,-0.799367249011993
Italy,0.355933427810669
Jamaica,0.295468419790268
Japan,0.968189001083374
"Jersey, Channel Islands",1.31914687156677
Jordan,-0.496246248483658
Kazakhstan,0.00146297342143953
Kenya,-1.35445654392242
Kiribati,0.846926331520081
"Korea, Dem. People's Rep.",-0.684034168720245
"Korea, Rep.",0.153576508164406
Kosovo,-0.285933345556259
Kuwait,-0.0565007105469704
Kyrgyz Republic,-0.652019679546356
Lao PDR,0.524906516075134
Latvia,0.467219561338425
Lebanon,-1.61568403244019
Lesotho,-0.244855865836143
Liberia,-0.441768199205399
Libya,-2.27473783493042
Liechtenstein,1.45326995849609
Lithuania,0.8147212266922
Luxembourg,1.40361714363098
"Macao SAR, China",1.39056718349457
Madagascar,-0.294186472892761
Malawi,-0.116127513349056
Malaysia,0.129485934972763
Maldives,0.408033192157745
Mali,-1.61284875869751
Malta,1.06645977497101
Marshall Islands,0.83496367931366
Martinique,0.975613653659821
Mauritania,-0.748691558837891
Mauritius,0.999218165874481
Mexico,-0.633718132972717
"Micronesia, Fed. Sts.",1.03645646572113
Moldova,-0.305498778820038
Monaco,1.31531059741974
Mongolia,0.787600100040436
Montenegro,0.268716216087341
Morocco,-0.317617774009705
Mozambique,-1.09681463241577
Myanmar,-0.808124959468842
Namibia,0.699528992176056
Nauru,1.1088570356369
Nepal,-0.846989989280701
Netherlands,0.896933197975159
New Zealand,1.50114333629608
Nicaragua,-0.0954835712909698
Niger,-1.10075747966766
Nigeria,-1.87388896942139
North Macedonia,-0.355312615633011
Norway,1.18162095546722
Oman,0.749765634536743
Pakistan,-2.47387385368347
Palau,0.846926331520081
Panama,0.40072774887085
Papua New Guinea,-0.504316508769989
Paraguay,0.13447080552578
Peru,-0.207934841513634
Philippines,-1.37869036197662
Poland,0.496157646179199
Portugal,0.958625793457031
Puerto Rico,0.67782860994339
Qatar,0.884123742580414
Reunion,0.290626764297485
Romania,0.266823202371597
Russian Federation,-0.947688162326813
Rwanda,-0.0665186643600464
Samoa,1.17588353157043
San Marino,1.38275027275085
Sao Tome and Principe,0.215979158878326
Saudi Arabia,-0.472771108150482
Senegal,-0.22595489025116
Serbia,0.133281603455544
Seychelles,0.715953171253204
Sierra Leone,-0.167113155126572
Singapore,1.47746896743774
Slovak Republic,0.708230555057526
Slovenia,0.979141891002655
Solomon Islands,0.49175438284874
Somalia,-2.34715795516968
South Africa,-0.149085000157356
South Sudan,-2.41249680519104
Spain,0.402214497327805
Sri Lanka,-0.0113400500267744
St. Kitts and Nevis,0.606805443763733
St. Lucia,0.998592257499695
St. Vincent and the Grenadines,0.998592257499695
Sudan,-2.33110570907593
Suriname,0.152817890048027
Sweden,1.00078213214874
Switzerland,1.28985404968262
Syrian Arab Republic,-2.90603613853455
"Taiwan, China",0.914119124412537
Tajikistan,-0.78061830997467
Tanzania,-0.448246777057648
Thailand,-0.991300225257874
