Country,HCI
Singapore,1.0
Palestine,0.4416243654822336
Zambia,0.1742808798646362
Italy,0.8054145516074451
Rwanda,0.1370558375634518
Burundi,0.1472081218274112
Benin,0.1912013536379019
Bahrain,0.634517766497462
Cyprus,0.7749576988155669
Luxembourg,0.6751269035532995
Guatemala,0.2825719120135364
Solomon Islands,0.2538071065989848
Tuvalu,0.4416243654822336
Nepal,0.3333333333333333
United States,0.7935702199661592
Laos,0.2690355329949239
Switzerland,0.802030456852792
Honduras,0.3333333333333333
Sierra Leone,0.0981387478849407
Malawi,0.1928934010152284
Norway,0.8087986463620982
Ethiopia,0.155668358714044
Japan,0.9323181049069372
Slovenia,0.8375634517766499
Comoros,0.1962774957698815
Sweden,0.8578680203045688
Lesotho,0.1319796954314721
United Arab Emirates,0.6192893401015229
East Timor,0.2385786802030457
Latvia,0.7292724196277496
Chad,0.0
Spain,0.7614213197969544
Togo,0.2030456852791878
Belgium,0.7851099830795263
Liberia,0.0439932318104907
Jordan,0.4551607445008461
United Kingdom,0.8257191201353639
Congo,0.2148900169204738
Mali,0.0406091370558376
Russia,0.7377326565143825
Eswatini,0.1962774957698815
Argentina,0.5380710659898478
Czechia,0.8274111675126905
Indonesia,0.4094754653130288
Nicaragua,0.4027072758037226
Jamaica,0.424703891708968
Bulgaria,0.6480541455160745
Serbia,0.7817258883248732
Bangladesh,0.3147208121827411
Mexico,0.5313028764805415
Turkey,0.5634517766497462
Afghanistan,0.1624365482233503
Peru,0.4957698815566835
Israel,0.7952622673434857
France,0.7986463620981389
Macao,0.7884940778341795
Costa Rica,0.5516074450084603
Estonia,0.7681895093062606
Vietnam,0.6311336717428089
Colombia,0.5076142131979695
Chile,0.6446700507614215
Papua New Guinea,0.1539763113367175
El Salvador,0.3519458544839256
Malaysia,0.55668358714044
Seychelles,0.6514382402707277
Vanuatu,0.3011844331641286
South Sudan,0.0152284263959391
Georgia,0.5431472081218275
Philippines,0.4314720812182742
Iran,0.5042301184433164
Kuwait,0.4788494077834179
Democratic Republic of Congo,0.1285956006768189
North Macedonia,0.4077834179357023
Romania,0.5211505922165821
Iraq,0.1776649746192894
Montenegro,0.544839255499154
Myanmar,0.3045685279187817
Guyana,0.3417935702199662
Armenia,0.4720812182741116
Panama,0.4043993231810491
Uganda,0.1505922165820643
Ghana,0.2470389170896785
Dominican Republic,0.3367174280879865
Lithuania,0.7089678510998308
Lebanon,0.4145516074450086
Denmark,0.8138747884940779
Gambia,0.1759729272419628
Austria,0.8460236886632826
Finland,0.8815566835871403
Kenya,0.3807106598984772
Poland,0.7681895093062606
Moldova,0.4856175972927242
Madagascar,0.1370558375634518
Tonga,0.3705583756345178
Trinidad and Tobago,0.5414551607445008
Mauritius,0.5634517766497462
Azerbaijan,0.5143824027072759
Bosnia and Herzegovina,0.5499153976311337
India,0.2487309644670051
Sudan,0.1455160744500846
Angola,0.1150592216582064
Burkina Faso,0.1285956006768189
Egypt,0.326565143824027
Kosovo,0.451776649746193
Tajikistan,0.4060913705583757
Australia,0.8629441624365483
Tunisia,0.3637901861252116
New Zealand,0.802030456852792
Algeria,0.3891708967851101
Saudi Arabia,0.494077834179357
Ireland,0.8680203045685282
Portugal,0.8172588832487311
Haiti,0.2588832487309645
Pakistan,0.1624365482233503
Greece,0.6565143824027074
Yemen,0.1285956006768189
Iceland,0.7563451776649747
Germany,0.8494077834179358
Mauritania,0.1015228426395939
Canada,0.856175972927242
Hungary,0.6937394247038917
Uruguay,0.5194585448392555
South Africa,0.1912013536379019
Ecuador,0.5228426395939086
Ukraine,0.5989847715736042
Albania,0.5549915397631134
Guinea,0.1370558375634518
South Korea,0.934010152284264
Nigeria,0.0829103214890017
Netherlands,0.8578680203045688
Qatar,0.544839255499154
Malta,0.6903553299492385
Kyrgyzstan,0.4856175972927242
Senegal,0.2115059221658206
Zimbabwe,0.2504230118443317
Cameroon,0.1708967851099831
Kiribati,0.3147208121827411
Oman,0.55668358714044
Botswana,0.22165820642978
Mongolia,0.5634517766497462
Niger,0.038917089678511
